"","WT","TBET_0","IFNG_0","GATA3_0","IL2_0","IL4_0","RORGT_0","IL6_0","FOXP3_0","TGFB_0","IL10_0","SOCS1_0","SOCS2_0","SOCS3_0","IFNGe_0","IL12e_0","IL2e_0","IL4e_0","IL6e_0","TGFBe_0","IL10e_0","TCR_0","TBET_1","IFNG_1","GATA3_1","IL2_1","IL4_1","RORGT_1","IL6_1","FOXP3_1","TGFB_1","IL10_1","SOCS1_1","SOCS2_1","SOCS3_1","IFNGe_1","IL12e_1","IL2e_1","IL4e_1","IL6e_1","TGFBe_1","IL10e_1","TCR_1","SOCSall_0","SOCSall_1"
"Naive",8192,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,8192,16384,32768,65536,131072,262144,524288,1048576,NA,524288,NA,524288,524288,NA,524288,NA,NA,NA,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,NA,1024,1024
"NoLabel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tex",616,1856,2696,320,64,340,308,168,584,392,352,NA,308,984,1414,4644,6674,15906,28869,88661,88661,NA,569593,5232,561166,37024,43888,586712,65536,NA,NA,NA,60928,44508,46464,26850,45446,42095,41727,59792,NA,NA,88661,200,312
"Tex/Th17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tex/Th17/Tex/Tex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tex/Th17/Th17/Tex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TexTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th1",3140,NA,NA,1600,1940,1538,1444,520,1596,2400,2400,1720,1570,708,3618,3606,10364,17709,32388,49296,49296,NA,32487,40336,NA,12480,NA,NA,NA,NA,NA,NA,13120,25826,11680,33838,31850,20252,21987,16908,NA,NA,49296,188,160
"Th17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33766,NA,NA,NA,NA,NA,NA,42198,24320,NA,31408,NA,21504,17661,NA,10016,16948,8586,16818,32352,33766,NA,33766,NA,NA
"Th17/Th17/Th17/Tex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
