"initial","final","genes","values"
"Naive","Naive","FOXP3","1"
"Naive","Naive","GATA3","1"
"Naive","Naive","IFNG","1"
"Naive","Naive","IFNGe","0"
"Naive","Naive","IL10","1"
"Naive","Naive","IL10e","1"
"Naive","Naive","IL12e","0"
"Naive","Naive","IL2","1"
"Naive","Naive","IL21","1"
"Naive","Naive","IL2e","1"
"Naive","Naive","IL4","1"
"Naive","Naive","IL4e","0"
"Naive","Naive","IL6e","0"
"Naive","Naive","RORGT","1"
"Naive","Naive","SOCS1","0"
"Naive","Naive","SOCS2","1"
"Naive","Naive","SOCS3","1"
"Naive","Naive","SOCS5","0"
"Naive","Naive","TBET","1"
"Naive","Naive","TCR","1"
"Naive","Naive","TGFB","1"
"Naive","Naive","TGFBe","0"
"Th17","Th17","FOXP3","1"
"Th17","Th17","GATA3","1"
"Th17","Th17","IFNGe","0"
"Th17","Th17","IL12e","0"
"Th17","Th17","IL2","1"
"Th17","Th17","IL21","0"
"Th17","Th17","IL2e","1"
"Th17","Th17","IL4","1"
"Th17","Th17","IL4e","0"
"Th17","Th17","IL6e","0"
"Th17","Th17","RORGT","0"
"Th17","Th17","SOCS2","1"
"Th17","Th17","SOCS3","1"
"Th17","Th17","SOCS5","0"
"Th17","Th17","TBET","1"
"Th17","Th17","TCR","0"
"Th17","Th17","TGFB","0"
"Th17","Th17","TGFBe","0"
"Th17","Th1R","IFNG","1"
"Th17","Th1R","SOCS1","0"
"Th17","Tr","IL10","1"
"Th17","Tr","IL10e","1"
"Th1R","Th17","IFNG","0"
"Th1R","Th17","IFNGe","0"
"Th1R","Th17","IL10","0"
"Th1R","Th17","TCR","0"
"Th1R","Th17","TCR","0"
"Th1R","Th17","TCR","0"
"Th1R","Th17","TGFB","0"
"Th1R","Th1R","FOXP3","1"
"Th1R","Th1R","FOXP3","1"
"Th1R","Th1R","FOXP3","1"
"Th1R","Th1R","GATA3","1"
"Th1R","Th1R","GATA3","1"
"Th1R","Th1R","IFNG","0"
"Th1R","Th1R","IFNG","1"
"Th1R","Th1R","IFNGe","0"
"Th1R","Th1R","IFNGe","0"
"Th1R","Th1R","IL10","0"
"Th1R","Th1R","IL10","1"
"Th1R","Th1R","IL10e","1"
"Th1R","Th1R","IL10e","1"
"Th1R","Th1R","IL10e","1"
"Th1R","Th1R","IL12e","0"
"Th1R","Th1R","IL12e","0"
"Th1R","Th1R","IL12e","0"
"Th1R","Th1R","IL2","1"
"Th1R","Th1R","IL2","1"
"Th1R","Th1R","IL2","1"
"Th1R","Th1R","IL21","1"
"Th1R","Th1R","IL21","1"
"Th1R","Th1R","IL2e","1"
"Th1R","Th1R","IL2e","1"
"Th1R","Th1R","IL2e","1"
"Th1R","Th1R","IL4","1"
"Th1R","Th1R","IL4","1"
"Th1R","Th1R","IL4e","0"
"Th1R","Th1R","IL4e","0"
"Th1R","Th1R","IL4e","0"
"Th1R","Th1R","IL6e","0"
"Th1R","Th1R","IL6e","0"
"Th1R","Th1R","IL6e","0"
"Th1R","Th1R","RORGT","1"
"Th1R","Th1R","RORGT","1"
"Th1R","Th1R","RORGT","1"
"Th1R","Th1R","SOCS1","0"
"Th1R","Th1R","SOCS1","0"
"Th1R","Th1R","SOCS1","0"
"Th1R","Th1R","SOCS2","0"
"Th1R","Th1R","SOCS2","0"
"Th1R","Th1R","SOCS2","0"
"Th1R","Th1R","SOCS3","0"
"Th1R","Th1R","SOCS3","0"
"Th1R","Th1R","SOCS5","0"
"Th1R","Th1R","SOCS5","0"
"Th1R","Th1R","SOCS5","0"
"Th1R","Th1R","TBET","0"
"Th1R","Th1R","TBET","0"
"Th1R","Th1R","TGFB","0"
"Th1R","Th1R","TGFB","0"
"Th1R","Th1R","TGFBe","0"
"Th1R","Th1R","TGFBe","0"
"Th1R","Th1R","TGFBe","0"
"Th1R","Tr","GATA3","1"
"Th1R","Tr","IL21","1"
"Th1R","Tr","IL4","1"
"Th1R","Tr","SOCS3","0"
"Th1R","Tr","TBET","0"
"Tr","Th17","IL10","0"
"Tr","Th17","TCR","0"
"Tr","Th17","TGFB","0"
"Tr","Th1R","IFNG","1"
"Tr","Th1R","TBET","1"
"Tr","Tr","FOXP3","1"
"Tr","Tr","GATA3","1"
"Tr","Tr","IFNGe","0"
"Tr","Tr","IL10e","1"
"Tr","Tr","IL12e","0"
"Tr","Tr","IL2","1"
"Tr","Tr","IL21","1"
"Tr","Tr","IL2e","1"
"Tr","Tr","IL4","1"
"Tr","Tr","IL4e","0"
"Tr","Tr","IL6e","0"
"Tr","Tr","RORGT","1"
"Tr","Tr","SOCS1","0"
"Tr","Tr","SOCS2","0"
"Tr","Tr","SOCS3","0"
"Tr","Tr","SOCS5","0"
"Tr","Tr","TGFBe","0"
